Year,concept.REF_AREA,concept.AGE,concept.URBANISATION,concept.INCOME_WEALTH_QUANTILE,concept.EDUCATION_LEV,Value
2018,,,,,,674.0
2018,Баткен,,,,,486.0
2018,Джалал-Абадская область,,,,,562.0
2018,Иссык-Кульская область,,,,,651.0
2018,Нарынская область,,,,,798.0
2018,Ошская область,,,,,711.0
2018,Таласская область,,,,,791.0
2018,Чуй,,,,,707.0
2018,Бишкек (город),,,,,696.0
2018,г. Ош,,,,,713.0
2018,,,Городское,,,686.0
2018,,,Сельское,,,667.0
2018,,от 15 до 19 лет ,,,,317.0
2018,,от 20 до 24 лет,,,,538.0
2018,,от 25 до 29 лет,,,,599.0
2018,,от 30 до 34 лет ,,,,762.0
2018,,от 35 до 39 лет,,,,745.0
2018,,от 40 до 44 лет ,,,,687.0
2018,,от 45 до 49 лет ,,,,660.0
2018,,,,,Дошкольное образование,
2018,,,,,Начальное образование,678.0
2018,,,,,Первый этап среднего образования,629.0
2018,,,,,Второй этап среднего образования,662.0
2018,,,,,Послесреднее нетретичное образование,743.0
2018,,,,Квинтиль 1 (беднейшие),,665.0
2018,,,,Квинтиль 2,,607.0
2018,,,,Квинтиль 3,,692.0
2018,,,,Квинтиль 4,,693.0
2018,,,,Квинтиль 5 (богатейшие),,714.0
