Year,concept.REF_AREA,concept.SEX,concept.AGE,concept.URBANISATION,concept.INCOME_WEALTH_QUANTILE,concept.EDUCATION_LEV,Value
2014,,,,,,,12.9
2018,,,,,,,11.8
2014,code.KG05,,,,,,13.6
2018,code.KG05,,,,,,11.9
2014,code.KG03,,,,,,21.3
2018,code.KG03,,,,,,15.5
2014,code.KG02,,,,,,14.1
2018,code.KG02,,,,,,14.2
2014,code.KG04,,,,,,16.4
2018,code.KG04,,,,,,6.5
2014,code.KG06,,,,,,10.6
2018,code.KG06,,,,,,13.7
2014,code.KG07,,,,,,11.0
2018,code.KG07,,,,,,10.0
2014,code.KG08,,,,,,7.6
2018,code.KG08,,,,,,10.1
2014,code.KG11,,,,,,7.6
2018,code.KG11,,,,,,5.9
2014,code.KG21,,,,,,12.1
2018,code.KG21,,,,,,10.9
2014,,code.M,,,,,13.8
2018,,code.M,,,,,12.5
2014,,code.F,,,,,12.0
2018,,code.F,,,,,10.9
2014,,,,code.U,,,11.8
2018,,,,code.U,,,8.8
2014,,,,code.R,,,13.4
2018,,,,code.R,,,13.1
2014,,,code.M0T5,,,,5.3
2018,,,code.M0T5,,,,5.4
2014,,,code.M6T11,,,,7.2
2018,,,code.M6T11,,,,9.3
2014,,,code.M12T17,,,,11.2
2018,,,code.M12T17,,,,12.1
2014,,,code.M18T23,,,,18.2
2018,,,code.M18T23,,,,17.2
2014,,,code.M24T35,,,,18.6
2018,,,code.M24T35,,,,13.2
2014,,,code.Y3T4,,,,14.6
2018,,,code.Y3T4,,,,11.2
2014,,,code.M48T59,,,,10.5
2018,,,code.M48T59,,,,12.7
2014,,code.F,,,,code.ISCED11_02,26.5
2014,,code.F,,,,code.ISCED11_1,17.1
2018,,code.F,,,,code.ISCED11_1,14.8
2014,,code.F,,,,code.ISCED11_2,13.5
2018,,code.F,,,,code.ISCED11_2,12.0
2014,,code.F,,,,code.ISCED11_3,11.8
2018,,code.F,,,,code.ISCED11_3,12.2
2014,,code.F,,,,code.ISCED11_4,9.8
2018,,code.F,,,,code.ISCED11_4,10.0
2014,,,,,code.Q1,,17.7
2018,,,,,code.Q1,,14.0
2014,,,,,code.Q2,,14.2
2018,,,,,code.Q2,,13.8
2014,,,,,code.Q3,,10.1
2018,,,,,code.Q3,,12.0
2014,,,,,code.Q4,,10.7
2018,,,,,code.Q4,,8.2
2014,,,,,code.Q5,,10.7
2018,,,,,code.Q5,,9.2
