Year,concept.REF_AREA,concept.SEX,Value
2007,,,350
2008,,,317
2009,,,317
2010,,,337
2011,,,368
2012,,,380
2013,,,370
2014,,,306
2015,,,321
2016,,,254
2017,,,256
2018,,,224
2007,,Смоделированные данные,347
2008,,Смоделированные данные,314
2009,,Смоделированные данные,307
2010,,Смоделированные данные,327
2011,,Смоделированные данные,361
2012,,Смоделированные данные,372
2013,,Смоделированные данные,365
2014,,Смоделированные данные,297
2015,,Смоделированные данные,315
2016,,Смоделированные данные,250
2017,,Смоделированные данные,250
2018,,Смоделированные данные,225
2007,,Женщины,354
2008,,Женщины,321
2009,,Женщины,329
2010,,Женщины,348
2011,,Женщины,376
2012,,Женщины,390
2013,,Женщины,375
2014,,Женщины,315
2015,,Женщины,327
2016,,Женщины,257
2017,,Женщины,263
2018,,Женщины,222
2007,Баткен,,404
2008,Баткен,,207
2009,Баткен,,315
2010,Баткен,,336
2011,Баткен,,356
2012,Баткен,,342
2013,Баткен,,539
2014,Баткен,,407
2015,Баткен,,412
2016,Баткен,,370
2017,Баткен,,405
2018,Баткен,,338
2007,Баткен,Смоделированные данные,413
2008,Баткен,Смоделированные данные,224
2009,Баткен,Смоделированные данные,313
2010,Баткен,Смоделированные данные,319
2011,Баткен,Смоделированные данные,342
2012,Баткен,Смоделированные данные,346
2013,Баткен,Смоделированные данные,536
2014,Баткен,Смоделированные данные,390
2015,Баткен,Смоделированные данные,409
2016,Баткен,Смоделированные данные,361
2017,Баткен,Смоделированные данные,396
2018,Баткен,Смоделированные данные,337
2007,Баткен,Женщины,394
2008,Баткен,Женщины,188
2009,Баткен,Женщины,317
2010,Баткен,Женщины,356
2011,Баткен,Женщины,373
2012,Баткен,Женщины,338
2013,Баткен,Женщины,541
2014,Баткен,Женщины,424
2015,Баткен,Женщины,414
2016,Баткен,Женщины,380
2017,Баткен,Женщины,415
2018,Баткен,Женщины,339
2007,Джалал-Абадская область,,530
2008,Джалал-Абадская область,,401
2009,Джалал-Абадская область,,369
2010,Джалал-Абадская область,,447
2011,Джалал-Абадская область,,453
2012,Джалал-Абадская область,,557
2013,Джалал-Абадская область,,464
2014,Джалал-Абадская область,,464
2015,Джалал-Абадская область,,451
2016,Джалал-Абадская область,,322
2017,Джалал-Абадская область,,326
2018,Джалал-Абадская область,,322
2007,Джалал-Абадская область,Смоделированные данные,516
2008,Джалал-Абадская область,Смоделированные данные,379
2009,Джалал-Абадская область,Смоделированные данные,335
2010,Джалал-Абадская область,Смоделированные данные,437
2011,Джалал-Абадская область,Смоделированные данные,437
2012,Джалал-Абадская область,Смоделированные данные,553
2013,Джалал-Абадская область,Смоделированные данные,474
2014,Джалал-Абадская область,Смоделированные данные,470
2015,Джалал-Абадская область,Смоделированные данные,452
2016,Джалал-Абадская область,Смоделированные данные,331
2017,Джалал-Абадская область,Смоделированные данные,340
2018,Джалал-Абадская область,Смоделированные данные,334
2007,Джалал-Абадская область,Женщины,546
2008,Джалал-Абадская область,Женщины,424
2009,Джалал-Абадская область,Женщины,405
2010,Джалал-Абадская область,Женщины,458
2011,Джалал-Абадская область,Женщины,469
2012,Джалал-Абадская область,Женщины,561
2013,Джалал-Абадская область,Женщины,455
2014,Джалал-Абадская область,Женщины,458
2015,Джалал-Абадская область,Женщины,449
2016,Джалал-Абадская область,Женщины,314
2017,Джалал-Абадская область,Женщины,311
2018,Джалал-Абадская область,Женщины,309
2007,Иссык-Кульская область,,386
2008,Иссык-Кульская область,,522
2009,Иссык-Кульская область,,461
2010,Иссык-Кульская область,,380
2011,Иссык-Кульская область,,295
2012,Иссык-Кульская область,,281
2013,Иссык-Кульская область,,395
2014,Иссык-Кульская область,,260
2015,Иссык-Кульская область,,289
2016,Иссык-Кульская область,,247
2017,Иссык-Кульская область,,242
2018,Иссык-Кульская область,,215
2007,Иссык-Кульская область,Смоделированные данные,387
2008,Иссык-Кульская область,Смоделированные данные,522
2009,Иссык-Кульская область,Смоделированные данные,479
2010,Иссык-Кульская область,Смоделированные данные,369
2011,Иссык-Кульская область,Смоделированные данные,311
2012,Иссык-Кульская область,Смоделированные данные,282
2013,Иссык-Кульская область,Смоделированные данные,404
2014,Иссык-Кульская область,Смоделированные данные,264
2015,Иссык-Кульская область,Смоделированные данные,291
2016,Иссык-Кульская область,Смоделированные данные,247
2017,Иссык-Кульская область,Смоделированные данные,243
2018,Иссык-Кульская область,Смоделированные данные,215
2007,Иссык-Кульская область,Женщины,385
2008,Иссык-Кульская область,Женщины,523
2009,Иссык-Кульская область,Женщины,445
2010,Иссык-Кульская область,Женщины,390
2011,Иссык-Кульская область,Женщины,281
2012,Иссык-Кульская область,Женщины,280
2013,Иссык-Кульская область,Женщины,385
2014,Иссык-Кульская область,Женщины,257
2015,Иссык-Кульская область,Женщины,287
2016,Иссык-Кульская область,Женщины,247
2017,Иссык-Кульская область,Женщины,241
2018,Иссык-Кульская область,Женщины,216
2007,Нарынская область,,452
2008,Нарынская область,,427
2009,Нарынская область,,441
2010,Нарынская область,,535
2011,Нарынская область,,499
2012,Нарынская область,,399
2013,Нарынская область,,438
2014,Нарынская область,,306
2015,Нарынская область,,380
2016,Нарынская область,,378
2017,Нарынская область,,292
2018,Нарынская область,,306
2007,Нарынская область,Смоделированные данные,469
2008,Нарынская область,Смоделированные данные,427
2009,Нарынская область,Смоделированные данные,448
2010,Нарынская область,Смоделированные данные,534
2011,Нарынская область,Смоделированные данные,483
2012,Нарынская область,Смоделированные данные,377
2013,Нарынская область,Смоделированные данные,448
2014,Нарынская область,Смоделированные данные,324
2015,Нарынская область,Смоделированные данные,395
2016,Нарынская область,Смоделированные данные,396
2017,Нарынская область,Смоделированные данные,312
2018,Нарынская область,Смоделированные данные,316
2007,Нарынская область,Женщины,437
2008,Нарынская область,Женщины,428
2009,Нарынская область,Женщины,435
2010,Нарынская область,Женщины,537
2011,Нарынская область,Женщины,517
2012,Нарынская область,Женщины,424
2013,Нарынская область,Женщины,427
2014,Нарынская область,Женщины,286
2015,Нарынская область,Женщины,364
2016,Нарынская область,Женщины,359
2017,Нарынская область,Женщины,271
2018,Нарынская область,Женщины,295
2007,Ошская область,,466
2008,Ошская область,,375
2009,Ошская область,,383
2010,Ошская область,,419
2011,Ошская область,,447
2012,Ошская область,,514
2013,Ошская область,,434
2014,Ошская область,,317
2015,Ошская область,,289
2016,Ошская область,,220
2017,Ошская область,,143
2018,Ошская область,,148
2007,Ошская область,Смоделированные данные,487
2008,Ошская область,Смоделированные данные,379
