Year,Пол,Value
2007,,16.7
2008,,17.0
2009,,17.8
2010,,183.0
2011,,17.4
2012,,177.0
2013,,221.0
2014,,207.0
2015,,21.4
2016,,20.4
2017,,210.0
2018,,205.0
2007,Мужчины,10.7
2008,Мужчины,12.8
2009,Мужчины,12.3
2010,Мужчины,115.0
2011,Мужчины,97.0
2012,Мужчины,101.0
2013,Мужчины,14.3
2014,Мужчины,125.0
2015,Мужчины,13.6
2016,Мужчины,12.1
2017,Мужчины,12.3
2018,Мужчины,120.0
2007,Женщины,22.8
2008,Женщины,21.3
2009,Женщины,23.5
2010,Женщины,252.0
2011,Женщины,25.2
2012,Женщины,255.0
2013,Женщины,300.0
2014,Женщины,29.2
2015,Женщины,295.0
2016,Женщины,290.0
2017,Женщины,30.1
2018,Женщины,294.0
