Year,concept.REF_AREA,concept.AGE,concept.URBANISATION,concept.INCOME_WEALTH_QUANTILE,concept.EDUCATION_LEV,concept.DISABILITY_STATUS,Value
2014,,CL_AGE.Y15T49,,,,,42.0
2018,,CL_AGE.Y15T49,,,,,67.4
2014,CL_AREA.KG05,CL_AGE.Y15T49,,,,,45.0
2018,CL_AREA.KG05,CL_AGE.Y15T49,,,,,48.6
2014,CL_AREA.KG03,CL_AGE.Y15T49,,,,,31.4
2018,CL_AREA.KG03,CL_AGE.Y15T49,,,,,56.2
2014,CL_AREA.KG02,CL_AGE.Y15T49,,,,,46.0
2018,CL_AREA.KG02,CL_AGE.Y15T49,,,,,65.1
2014,CL_AREA.KG04,CL_AGE.Y15T49,,,,,58.9
2018,CL_AREA.KG04,CL_AGE.Y15T49,,,,,79.8
2014,CL_AREA.KG06,CL_AGE.Y15T49,,,,,38.4
2018,CL_AREA.KG06,CL_AGE.Y15T49,,,,,71.1
2014,CL_AREA.KG07,CL_AGE.Y15T49,,,,,43.4
2018,CL_AREA.KG07,CL_AGE.Y15T49,,,,,79.1
2014,CL_AREA.KG08,CL_AGE.Y15T49,,,,,47.8
2018,CL_AREA.KG08,CL_AGE.Y15T49,,,,,70.7
2014,CL_AREA.KG11,CL_AGE.Y15T49,,,,,47.0
2018,CL_AREA.KG11,CL_AGE.Y15T49,,,,,69.6
2014,CL_AREA.KG21,CL_AGE.Y15T49,,,,,38.3
2018,CL_AREA.KG21,CL_AGE.Y15T49,,,,,71.3
2014,,CL_AGE.Y15T49,CL_URBANISATION.U,,,,43.1
2018,,CL_AGE.Y15T49,CL_URBANISATION.U,,,,68.6
2014,,CL_AGE.Y15T49,CL_URBANISATION.R,,,,41.4
2018,,CL_AGE.Y15T49,CL_URBANISATION.R,,,,66.7
2014,,CL_AGE.Y15T19,,,,,17.4
2018,,CL_AGE.Y15T19,,,,,31.7
2014,,CL_AGE.Y20T24,,,,,28.9
2018,,CL_AGE.Y20T24,,,,,53.8
2014,,CL_AGE.Y25T29,,,,,39.2
2018,,CL_AGE.Y25T29,,,,,59.9
2014,,CL_AGE.Y30T34,,,,,50.4
2018,,CL_AGE.Y30T34,,,,,76.2
2014,,CL_AGE.Y35T39,,,,,57.2
2018,,CL_AGE.Y35T39,,,,,74.5
2014,,CL_AGE.Y40T44,,,,,52.2
2018,,CL_AGE.Y40T44,,,,,68.7
2014,,CL_AGE.Y45T49,,,,,29.3
2018,,CL_AGE.Y45T49,,,,,66.0
2014,,CL_AGE.Y15T49,,,CL_EDUCATION_LEV.ISCED11_1,,20.4
2014,,CL_AGE.Y15T49,,,CL_EDUCATION_LEV.ISCED11_2,,36.5
2018,,CL_AGE.Y15T49,,,CL_EDUCATION_LEV.ISCED11_2,,67.8
2014,,CL_AGE.Y15T49,,,CL_EDUCATION_LEV.ISCED11_3,,42.1
2018,,CL_AGE.Y15T49,,,CL_EDUCATION_LEV.ISCED11_3,,62.9
2014,,CL_AGE.Y15T49,,,CL_EDUCATION_LEV.ISCED11_4,,43.3
2018,,CL_AGE.Y15T49,,,CL_EDUCATION_LEV.ISCED11_4,,66.2
2014,,CL_AGE.Y15T49,,,CL_EDUCATION_LEV.ISCED11_5,,43.7
2018,,CL_AGE.Y15T49,,,CL_EDUCATION_LEV.ISCED11_5,,74.3
2018,,CL_AGE.Y15T49,,,,CL_DISABILITY.PD,81.6
2018,,CL_AGE.Y15T49,,,,CL_DISABILITY.PWD,67.1
2014,,CL_AGE.Y15T49,,CL_QUANTILE.Q1,,,42.5
2018,,CL_AGE.Y15T49,,CL_QUANTILE.Q1,,,66.5
2014,,CL_AGE.Y15T49,,CL_QUANTILE.Q2,,,37.8
2018,,CL_AGE.Y15T49,,CL_QUANTILE.Q2,,,60.7
2014,,CL_AGE.Y15T49,,CL_QUANTILE.Q3,,,39.1
2018,,CL_AGE.Y15T49,,CL_QUANTILE.Q3,,,69.2
2014,,CL_AGE.Y15T49,,CL_QUANTILE.Q4,,,45.1
2018,,CL_AGE.Y15T49,,CL_QUANTILE.Q4,,,69.3
2014,,CL_AGE.Y15T49,,CL_QUANTILE.Q5,,,45.3
2018,,CL_AGE.Y15T49,,CL_QUANTILE.Q5,,,71.4
