Year,concept.REF_AREA,concept.SEX,concept.URBANISATION,concept.EDUCATION_LEV,Value
2018,,,,,48.5
2018,,,CL_URBANISATION.U,,66.0
2018,,,CL_URBANISATION.R,,38.1
2018,,CL_SEX.M,,,47.9
2018,,CL_SEX.F,,,49.0
2018,CL_AREA.KG05,,,,32.9
2018,CL_AREA.KG03,,,,18.3
2018,CL_AREA.KG02,,,,72.5
2018,CL_AREA.KG04,,,,39.3
2018,CL_AREA.KG06,,,,39.6
2018,CL_AREA.KG07,,,,42.2
2018,CL_AREA.KG08,,,,63.1
2018,CL_AREA.KG11,,,,67.7
2018,CL_AREA.KG21,,,,94.6
2018,,,,CL_EDUCATION_LEV.ISCED11_1,48.2
2018,,,,CL_EDUCATION_LEV.ISCED11_2,51.2
2018,,,,CL_EDUCATION_LEV.ISCED11_3,42.7
2018,,,,CL_EDUCATION_LEV.ISCED11_4,55.4
2018,,,,CL_EDUCATION_LEV.ISCED11_5,56.0
