Year,concept.REF_AREA,concept.SEX,concept.URBANISATION,Value
2015,,,,1.6
2016,,,,2.3
2017,,,,2.4
2018,,,,2.6
2015,,,CL_URBANISATION.U,1.6
2016,,,CL_URBANISATION.U,0.8
2017,,,CL_URBANISATION.U,0.8
2018,,,CL_URBANISATION.U,1.0
2015,,,CL_URBANISATION.R,1.5
2016,,,CL_URBANISATION.R,3.0
2017,,,CL_URBANISATION.R,3.3
2018,,,CL_URBANISATION.R,3.5
2015,,CL_SEX.M,,1.5
2016,,CL_SEX.M,,2.3
2017,,CL_SEX.M,,2.5
2018,,CL_SEX.M,,2.7
2015,,CL_SEX.F,,1.6
2016,,CL_SEX.F,,2.2
2017,,CL_SEX.F,,2.3
2018,,CL_SEX.F,,2.6
2016,CL_AREA.KG05,,,3.0
2017,CL_AREA.KG05,,,7.4
2018,CL_AREA.KG05,,,8.5
2016,CL_AREA.KG03,,,1.3
2017,CL_AREA.KG03,,,1.3
2018,CL_AREA.KG03,,,3.4
2016,CL_AREA.KG02,,,1.8
2017,CL_AREA.KG02,,,3.3
2018,CL_AREA.KG02,,,3.9
2016,CL_AREA.KG04,,,5.6
2017,CL_AREA.KG04,,,5.3
2018,CL_AREA.KG04,,,6.5
2016,CL_AREA.KG06,,,2.0
2017,CL_AREA.KG06,,,0.6
2018,CL_AREA.KG06,,,0.7
2016,CL_AREA.KG07,,,0.6
2017,CL_AREA.KG07,,,0.6
2018,CL_AREA.KG07,,,2.4
2016,CL_AREA.KG08,,,6.2
2017,CL_AREA.KG08,,,5.1
2018,CL_AREA.KG08,,,1.6
2016,CL_AREA.KG11,,,0.0
2017,CL_AREA.KG11,,,0.7
2018,CL_AREA.KG11,,,0.6
2016,CL_AREA.KG21,,,0.0
2017,CL_AREA.KG21,,,1.2
2018,CL_AREA.KG21,,,2.5
