Year,concept.REF_AREA,concept.URBANISATION,Value
2011,,,92.354935
2012,,,93.23105100000001
2013,,,89.6
2014,,,88.94600600000001
2015,,,89.13614
2016,,,89.949401
2017,,,91.106719
2018,,,91.811084
2014,,CL_URBANISATION.U,99.1
2015,,CL_URBANISATION.U,99.1
2016,,CL_URBANISATION.U,99.3
2017,,CL_URBANISATION.U,93.9
2018,,CL_URBANISATION.U,99.3
2014,,CL_URBANISATION.R,83.3
2015,,CL_URBANISATION.R,83.7
2016,,CL_URBANISATION.R,84.9
2017,,CL_URBANISATION.R,86.7
2018,,CL_URBANISATION.R,87.8
2014,CL_AREA.KG05,,74.3
2015,CL_AREA.KG05,,73.3
2016,CL_AREA.KG05,,74.1
2017,CL_AREA.KG05,,79.0
2018,CL_AREA.KG05,,83.6
2014,CL_AREA.KG03,,89.5
2015,CL_AREA.KG03,,87.7
2016,CL_AREA.KG03,,87.3
2017,CL_AREA.KG03,,91.2
2018,CL_AREA.KG03,,86.4
2014,CL_AREA.KG02,,96.8
2015,CL_AREA.KG02,,96.4
2016,CL_AREA.KG02,,97.3
2017,CL_AREA.KG02,,97.0
2018,CL_AREA.KG02,,96.0
2014,CL_AREA.KG04,,84.4
2015,CL_AREA.KG04,,90.3
2016,CL_AREA.KG04,,95.9
2017,CL_AREA.KG04,,95.8
2018,CL_AREA.KG04,,96.3
2014,CL_AREA.KG06,,72.9
2015,CL_AREA.KG06,,74.5
2016,CL_AREA.KG06,,76.4
2017,CL_AREA.KG06,,77.3
2018,CL_AREA.KG06,,83.2
2014,CL_AREA.KG07,,99.7
2015,CL_AREA.KG07,,99.2
2016,CL_AREA.KG07,,100.0
2017,CL_AREA.KG07,,99.4
2018,CL_AREA.KG07,,99.4
2014,CL_AREA.KG08,,100.0
2015,CL_AREA.KG08,,100.0
2016,CL_AREA.KG08,,100.0
2017,CL_AREA.KG08,,100.0
2018,CL_AREA.KG08,,100.0
2014,CL_AREA.KG11,,99.8
2015,CL_AREA.KG11,,100.0
2016,CL_AREA.KG11,,100.0
2017,CL_AREA.KG11,,100.0
2018,CL_AREA.KG11,,100.0
2014,CL_AREA.KG21,,96.5
2015,CL_AREA.KG21,,96.7
2016,CL_AREA.KG21,,100.0
2017,CL_AREA.KG21,,95.7
2018,CL_AREA.KG21,,96.5
