Year,concept.REF_AREA,concept.SEX,concept.AGE,concept.INCOME_WEALTH_QUANTILE,concept.EDUCATION_LEV,Value
2014,,,CL_AGE.Y0T4,,,78.3
2018,,,CL_AGE.Y0T4,,,71.7
2014,CL_AREA.KG05,,CL_AGE.Y0T4,,,81.2
2018,CL_AREA.KG05,,CL_AGE.Y0T4,,,83.3
2014,CL_AREA.KG03,,CL_AGE.Y0T4,,,87.1
2018,CL_AREA.KG03,,CL_AGE.Y0T4,,,63.9
2014,CL_AREA.KG02,,CL_AGE.Y0T4,,,81.6
2018,CL_AREA.KG02,,CL_AGE.Y0T4,,,79.8
2014,CL_AREA.KG04,,CL_AGE.Y0T4,,,80.6
2018,CL_AREA.KG04,,CL_AGE.Y0T4,,,72.4
2014,CL_AREA.KG06,,CL_AGE.Y0T4,,,69.6
2018,CL_AREA.KG06,,CL_AGE.Y0T4,,,65.8
2014,CL_AREA.KG07,,CL_AGE.Y0T4,,,84.9
2018,CL_AREA.KG07,,CL_AGE.Y0T4,,,65.1
2014,CL_AREA.KG08,,CL_AGE.Y0T4,,,73.5
2018,CL_AREA.KG08,,CL_AGE.Y0T4,,,72.0
2014,CL_AREA.KG11,,CL_AGE.Y0T4,,,87.4
2018,CL_AREA.KG11,,CL_AGE.Y0T4,,,81.3
2014,CL_AREA.KG21,,CL_AGE.Y0T4,,,52.0
2018,CL_AREA.KG21,,CL_AGE.Y0T4,,,71.5
2014,,,CL_AGE.M0T5,,,5.3
2014,,,CL_AGE.M6T11,,,7.2
2014,,,CL_AGE.M12T17,,,11.2
2014,,,CL_AGE.M18T23,,,18.2
2014,,,CL_AGE.M24T35,,,18.6
2014,,,CL_AGE.M36T47,,,14.6
2014,,,CL_AGE.M48T59,,,10.5
2014,,CL_SEX.M,CL_AGE.Y0T4,,,76.1
2018,,CL_SEX.M,CL_AGE.Y0T4,,,68.2
2014,,CL_SEX.F,CL_AGE.Y0T4,,,80.6
2018,,CL_SEX.F,CL_AGE.Y0T4,,,75.0
2014,,,CL_AGE.Y0T4,,CL_EDUCATION_LEV.ISCED11_2,70.1
2018,,,CL_AGE.Y0T4,,CL_EDUCATION_LEV.ISCED11_2,71.0
2014,,,CL_AGE.Y0T4,,CL_EDUCATION_LEV.ISCED11_3,77.2
2018,,,CL_AGE.Y0T4,,CL_EDUCATION_LEV.ISCED11_3,73.8
2014,,,CL_AGE.Y0T4,,CL_EDUCATION_LEV.ISCED11_4,80.8
2018,,,CL_AGE.Y0T4,,CL_EDUCATION_LEV.ISCED11_4,70.6
2014,,,CL_AGE.Y0T4,,CL_EDUCATION_LEV.ISCED11_5,81.8
2018,,,CL_AGE.Y0T4,,CL_EDUCATION_LEV.ISCED11_5,69.6
2014,,,CL_AGE.Y0T4,CL_QUANTILE.Q1,,76.5
2018,,,CL_AGE.Y0T4,CL_QUANTILE.Q1,,72.5
2014,,,CL_AGE.Y0T4,CL_QUANTILE.Q2,,80.3
2018,,,CL_AGE.Y0T4,CL_QUANTILE.Q2,,70.6
2014,,,CL_AGE.Y0T4,CL_QUANTILE.Q3,,73.0
2018,,,CL_AGE.Y0T4,CL_QUANTILE.Q3,,67.2
2014,,,CL_AGE.Y0T4,CL_QUANTILE.Q4,,79.3
2018,,,CL_AGE.Y0T4,CL_QUANTILE.Q4,,71.0
2014,,,CL_AGE.Y0T4,CL_QUANTILE.Q5,,84.3
2018,,,CL_AGE.Y0T4,CL_QUANTILE.Q5,,78.0
